Colistin_0.8ugml,Ethanol_5.,Gentamycin_0.8ugml,Gentamycin_4ugml,Gentamycin_8ugml,Imipenem_0.1ugml,LB_,LBBlood_5.,LBUrine_5.,pH_8,pH_9,Colistin_4ugml,Colistin_8ugml,EDTA_0.1mM,EDTA_0.5mM,EDTA_1mM,Imipenem_0.5ugml,Imipenem_1ugml,Indole_1mM,RPMI_1,pH_5,pH_6,Aceticacid_0.7mM.1,Aceticacid_0.7mM,Aceticacid_1mM,Aceticacid_5mM,Bleach_1.,Chloramphenicol_1.6ugml,Chloramphenicol_8ugml,DMSO_1.,Ethanol_1.,M9_GLUCOSE,Methanol_1.,Methanol_5.,Propanol_1.,TWEEN20_0.8.,TWEEN20_0.8..1,TWEEN20_1.5.,Tetracycline_0.8ugml,Ceftazidime_0.2ugml,Ceftazidime_1ugml,Ceftazidime_2ugml,Ciprofloxacin_0.05ugml,Ciprofloxacin_0.25ugml,Ciprofloxacin_0.5ugml,LB_2,UV_12sec,UV_24sec,UV_6sec
189438,117963,191720.5,206235,233444,148414.5,181751.5,65661,133265,115116,82589,151389,137594.5,126858.5,71269,34543,137996,161492,72852,111738,157050,135938,95855.5,104006,136698,37434,76234.5,148213,204260,84574,102163,49853,114680,107745,112543,100634,105683,97217.5,145061,207570.5,210870,291999,233370.5,213474,269737.5,203675,172070,222590,100265
103361,84273,121503.5,45745,29012,91845,166361,64198,80864,84954,59397.5,131857,20433,127585,55217,30326,126841,133739,73311,104638,98307,117536.5,144396.5,145193,158525,95855,124328,163314.5,166681,137601.5,161488,96302,145529,134007.5,138931,145166,145166,148295,160159,312583,342107,308173,323276.5,306758,370132.5,250996,44604,74354,161982
132556,118668,85899.5,82443,31814,155189.5,104958,56386.5,58407,89458,25836.5,126377.5,35382.5,27379,3572,6384.5,110665,104262,37616,24581,38325,38196,63251,50660,67276,102580,6875,24454,0,92631,13591.5,0,52797,159026,42165,19524.5,19899,25883.5,31400,123081,144009,169325,147140,133108.5,204698.5,108843,74673,0,78666.5
190467,113534.5,183829,156104,185061,131698.5,169117.5,66378,120617,106113,81047,197125,165962,123276,61664,32345,145314,167218,81323,85480,166328.5,120389,98023,101450,164134,57936,96692,178312,234027,97445.5,131610,89605,112376,113564,129893,124175,116699,133972,207532,182060,185204,237556,202930,202234.5,208330,220942,113651,210105.5,94250
215312,151797,173659,39175,46227.5,188806.5,203937,100919,153574,137119,132128.5,220522,186346,150390,84080,56332,113662,125314,91482.5,83790,133884,116912,116266,109975,151349,70180,103764,162946,129606,112923,124859,37834,145226.5,141203,133395.5,132176,147031,142580.5,139513,199863,219228,254616,236610,245708.5,236708,228272.5,186875,243465.5,127574
42750,48813,51324.5,76664,97535,30622.5,74870.5,18693,56699,42774,37493,9222,7747,45928,31967,18556,48567,20960.5,37965.5,46006,54531,45698,48328.5,52267.5,66008.5,17628,44243,66183,98579,34195,53898.5,24099,59447,44248.5,58706.5,42305,43436.5,46718.5,61737.5,98468,112810,142533,112851.5,123975.5,134934,126524,111948,108819.5,86975
215161,156380,199556,212886,230729,209916.5,232418,87147,151265,133877,124031,161139,124162.5,162557,105850,66340,218985,242096,102356,122892,179528,182744,131498.5,135705,211494.5,121962,160245,171659,127707,130968,179176,104641,149966.5,145815,174937,149276.5,165026,169127,226601,349067,357881,310265.5,326171,341344,384353,292312,275531,318543,315136
77902,116700,73611,10602,25404,88951.5,141374,30616.5,115867,12275,22987.5,0,3889,66767,36589,3320,0,0,4324,0,122095,138968,94450.5,94450.5,126684,61451,112199,107990,139413,77502.5,82452,60690,100241,105437,109648,92276,91420,116872,55288,227034,203419,155127,222968,281189,259613.5,207877,191425,38837,181800
226296,129508.5,205112.5,53599,47884.5,209921,168889.5,103373,155596,134667,107731.5,245893.5,171825,166782,63224,43475.5,170313,191818,105861,119479,203230,191827.5,128165,139820,201302,69929,138076,170055,147721,133357,167710.5,57454,152718.5,141332,163433,177761,177224,178652,189277,155589,181969,225082,209303,202687.5,282249,194149,0,0,21989
150249,100886.5,137672,169503,216767.5,115028,179652.5,61549,139785,105607,70732.5,106045,103699,115638,43519,31156.5,66461,28385,73984,58684,102422.5,130874.5,110039,115030,114248,60681.5,96562,79419,83614,84528,107100,44249,119357.5,84924,130008,108406.5,110882,113028,160574,268934,278503.5,256052,237292,277858,309621,215028,80319,32027,109376
99277,60750.5,120352,128762,184607.5,75949,75175,46524,67181,89650,40558.5,14573,0,87026,19811,18683,105551,74853,37031,43063,46604,71144,52422,34782.5,36435.5,32185,26170,82222,163008,48208,48174,0,61852.5,51259,46047,73435.5,73435.5,58036,73393,64008,70379,106881.5,79273,74588.5,123949,61415,0,0,4721
51837,66428.5,112992.5,161794,152876,79736,121936,35647,90087.5,62403,50689,0,0,67485,14409,13718,71857,83476.5,49442.5,76967,45553,88524,80571,82699,85074,57975,52782,105646,174460,83440,94311,65951,92515.5,95013,100806,86317,86317,91038,81029,181883,192460,206098,174163,204784,205179,161528,0,0,46077
82965,78238,119932.5,159468,189851,77063,135608.5,43844.5,90951,62053,53227.5,0,0,92695,19762,12020,83151,92702,38681,71978,52538,99949,70498,73889,87105,38110,60096,107694,164042,69238.5,87658,16511,84830,82356,85514,83712,87285,83355,66134,228875,241836,239717,208612.5,261291,278766.5,190679,128008,87868,181775
184242,115795,173784.5,44838,29458,121894,212521.5,78151,141777,107499,89236.5,182327.5,179625.5,117135,50258,38572.5,92140,62240,74814,100120,105041,138016,96241,101924,150190,52174,93644,158568,246857,106501.5,142194,59213,123894,99427.5,132815.5,126311,127189,132414,169435,339976.5,351383,341100,312233,346201,360375,282485,103000,207772,241121
