Colistin_0.8ugml,Gentamycin_0.8ugml,Gentamycin_4ugml,Gentamycin_8ugml,Imipenem_0.1ugml,LB_,LBBlood_5.,LBUrine_5.,ethanol_5.,pH_8,pH_9
3057,3522.5,3608,3703.5,2815,3039,2818,2917,2519,2355,2004
2987.5,3417.5,4063,3903.5,2729,3392,2991.5,2491,2494.5,2726,1847
2792,3533.5,3670,4213,2282,2712,2711,2947,2227,1960,1928
4745.5,4326.5,5318,5130,4080,3509,3851,3263,3603,3015,2503.5
2980,3520.5,4177,3269.5,2668,2340,2242,2173,2283,1787,1634.5
3884.5,4274,4835,4679,2959.5,2345,2578.5,2852,2387,2208,1967.5
2853,1985.5,2203,472.5,3187,2582,3089,3483,2586,2450,2803
1571,1095,839,449.5,1941,2424,3075,2077,1564,2533,961
4168.5,3847,1172.5,1040.5,3249,2721,3064,2485,2452.5,2374,1684
4315,4110,1443,1353,3548,3212,2797,2883,2602,2921,1988
2172.5,1715,554,650,1725,2135,2290,1872,1855,2053,1462
2446,2956.5,937,1233,1901.5,2327,2425,2452,1922,1918,1593
2028.5,1839.5,502,799,1655,2087,2180,2252,1622,1602,1251.5
4512.5,4127,1811,1392,4495.5,2865.5,4013,2811,2873,3191,2520.5
6363,6391.5,4876.5,5358,4115,3775,4190.5,3431,3101,3412,2709
5257,4931.5,1298,1644,2708,3339,4195,3026,2971,2576,2366
6364,5000,1240,1513.5,6937.5,4354,7145,3766.5,4374,3766,2844
7098,6051,6187,6282,6662.5,4858,5962,4606,5059,4321,3142.5
6407,5459.5,2143,1513,5629,3964,5190,3840,3763,3386,2548.5
3726,4610,4072,4522,3418.5,3094,3503,2746,2854.5,2390,2420
4316,5431,4991,5137,2670,2689,3129,3038,2481,2324,1931
5919,5871,6899,6111,5857,4913,5362,4964,4947,3416,3680.5
0,633,0,0,970.5,5249,1979.5,4068,5397,2960,4233
4518,5356,5408.5,5056,3776,3426,3519,3432,2614.5,2655,2047
3132.5,305,753,169,2930.5,1826.5,1558,1760,424.5,1024,705.5
4388,5059,4649,4402,3200,3388,3053,3445,2435,2302,1969
2199.5,2619.5,3232,3522,2065,2172.5,1572,2275,1418,1538,1327
3435.5,3563.5,3959.5,3862,2945,3072.5,2894.5,3121,2471.5,2412,2178
2852.5,3759,3820,3737,2397,3365,1951.5,3006,2135,2018,2371
4634,5129.5,4489,4542.5,4270.5,3182,3252.5,2823,2785,2689,1906
1386.5,2463,1847.5,3120,2492,1891,130,1920,1884,1509,1377
0,361,0,0,321,3544,140,3389,0,571,264
5960,5100.5,7810,5209.5,5106.5,5738.5,6429,5322.5,5451,4975,4598
0,502,0,0,398.5,2056,250,1657,337,183,3477
2470,2690,3039,2645,2299.5,2061,2231,1849,1790.5,1918,1535.5
3901,4749.5,4321,4200,4367,3897,3559,3593,2933,2559,2454
3243,4112,4105,4611,2578,2695,2872,2830,2289,2168,1878
3376.5,4237.5,4209,4465,2599,2896,2879,2956,2279,2213,1953
3578,3783.5,1952.5,885,2766,3228,3000,2942,2465,2680,2166
1389.5,2796.5,3134,3136,2508.5,2151,2180,1766,1635,2005,875.5
2955.5,3361.5,3500,3647,3391,2847,2883,2806,2420,2355,2026.5
3282,3457,3964,3501,3291.5,2630,2904,2087,2693,2451,1977
3926,3085.5,4135,3661,3536,4266.5,3507.5,3895,3896,2985,2352
2000.5,3166.5,4244,4124,2415,2525,2244,2807,2292,2116,2085
2896,3545,2847,3870,3000,2400,3901,2014,2699,2951,1799.5
1714.5,1946.5,1965,2544,1741.5,1878,1767.5,1920.5,1348,1701,917
702.5,350,0,0,2548.5,2152,899.5,2306.5,1734,2438,0
3094.5,4335,4974,4826,2952,3169,3099.5,3066,2305,3016,1809
1754,2622,2775,3004,1570,1875,1271,1718,1155,1214,1286.5
5231,4192,1565,1516.5,5220.5,4002,4416.5,4568,4358,3632,3263.5
4372,3948,1642.5,1740,4391.5,2777,2770.5,3123,2901,3042,2404.5
2246,2292,1879.5,2105,2975.5,1984,2170,1845.5,2148,2147,1935.5
3046.5,3069,1829.5,1469,2569,2454,2605,2430,2137,2331,1837
2021,815.5,0,387.5,1817,1833,2252,1901,1320.5,2065,1527
4652,4397,1846,1753.5,4138.5,3751,3826,3429,3517,3424,2779
3962,3979,1286,759.5,3530,3769,3539.5,3825,3138,3030,2875
4028,4080.5,1463,1466,3273,4005,3553.5,3955,3085,3143,2877.5
2071,3384,1397,970,2338.5,2857,2535,2762,2267,2446,2102
3934.5,3196,0,0,4974.5,4749,5012,5133,4572,3609,4121.5
3061.5,3593.5,810,723,2981,3569,3282.5,3380,2813,2951,2684
3504,3532,3361,3830,2560,2946,3206.5,3003,2706,2310,2169.5
5619,4794.5,1669.5,1799,4045,4168,5244.5,3926,2798,3644,3420
1582,2349.5,0,1951,3292.5,3794,2718.5,3659,3282,3848,2865.5
2377,2281,0,0,3632.5,3322,2986.5,3449,1572,1993,3526.5
3050,2633,927,1077.5,2995,3537,2809,3705.5,2258,2775,2418
3909,3628.5,2410,1888,3779,3665,3605.5,3404,3035,3184,2644
3312,3383.5,1762.5,1869,3325,3687,3622,3794,3250,3596,2822
4442,4669,4644,4887,4827.5,4159,4518.5,4025.5,2897,4013,2989.5
3971,3924,1881,2053,3647.5,4148,4052.5,4110,3411.5,3558,3173
3176.5,3667.5,4628,870,3169,3301,3375,3627,2476,3030,1961
0,2109,1201,1023,3865,3923,3232.5,3696,2556,4560,2877
3090.5,4861.5,883,804,3064,3368,3354,3015,2805,3008,2541
5284.5,4937,1064,1128,5351.5,4076,5520.5,3637.5,4401,3572,2882
5686,4700,1640.5,1081.5,4541,3556,4489,3927,3118,3005,3358.5
7999,7202,9403,7378.5,8013.5,7032,7734,7643,7444,6249,6000.5
2098,2795.5,0,0,3522,3229,1359,2846,3034,3958,2929
5443.5,4577,1322,1422,5586,4643,5819.5,4366,4571,4052,4167
5305.5,4701,1056,977.5,5981.5,4520.5,6736,4419,5322,4336,4415.5
3955.5,4450,1213,695,3817,3597,4441.5,3095,3524.5,3025,2981
4878,5057,1181,1021,5907,4021,5434,3584,4118,3647,3156.5
4386.5,4938,0,484,6114.5,5236,5988.5,6286,4964.5,5311,3538
5388,3286.5,5430,0,5532,5901.5,4914.5,5547,6020,5368,3874
4352.5,4367,2959.5,2336,5922,3852,5152.5,4098,5487,4154,3178
3929.5,4682,4626,4973,4967,3364,4038,3063,2795,2183,2829.5
3703,4777,4808,5132,3519.5,3244.5,3485.5,2942,2688,2835,2090
3388.5,4148.5,1269,1020,3764.5,3690,3712,5008,3195.5,3815,2546
3343.5,3909.5,4034,4261,3067.5,3425,3353,3361,2651,2615,2324
2271,1942,0,0,2009,2068,2568.5,2740,1448,1863,1130.5
3102,3828.5,3568,3912,2874,3259,3071,3177,2526,2339,2355
0,0,0,0,693,762,360.5,1013,354,0,407
3495.5,3658,3539,4198,3086,2880,2905,2709,2426,1980,2316
7521,6960,9910,8455.5,8227.5,7471,5290,7436,7309,5931,5524
4570,4027.5,588,783,4244,3629,3572,3512,2954,3101,2974
4229,4039,708,694,4282.5,3908.5,3539,3774,3295,3256,3038
0,430.5,0,454,716.5,3697,518.5,2649,586,3353,1722
3649.5,4541,4840,4976.5,3647.5,3708,4329,3401,3027,3224,3204
504.5,358,0,0,4276,4094,3877.5,3622,3270,3183,2668
3699,2472,817,1121,2974,3009,3297,3019,2725,2012,2085
4493.5,4808.5,1038,1056,4174,3738,3859,3428,3323,2902,3004.5
1180.5,188.5,0,0,1406,2844.5,1539,2593,2425,1191,1869.5
